trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
170,False,"{'a': 0.7639999999999961, 'e': 0.77607974492513676}",30,0,-83.2313024900717,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
171,False,"{'a': 0.7631999999999961, 'e': 0.77491649796108097}",20,10,-5.478378946586286,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
172,False,"{'a': 0.7623999999999961, 'e': 0.77375499455947239}",20,0,-68.07038555423509,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
173,False,"{'a': 0.7615999999999961, 'e': 0.77259523210692804}",25,8,-32.7052762681544,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
174,False,"{'a': 0.760799999999996, 'e': 0.77143720799398185}",25,0,-45.45703836781661,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
175,False,"{'a': 0.759999999999996, 'e': 0.77028091961507916}",30,0,-118.94464539850131,"{0: 21, 1: 0, 2: 7, 3: 0, 4: 2}",0
176,False,"{'a': 0.759199999999996, 'e': 0.76912636436857051}",20,3,-25.253366705118847,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
177,False,"{'a': 0.758399999999996, 'e': 0.76797353965670612}",20,0,-96.50372467230059,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
178,False,"{'a': 0.7575999999999959, 'e': 0.76682244288563006}",30,0,-167.09595805207016,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
179,False,"{'a': 0.7567999999999959, 'e': 0.765673071465374}",25,0,-71.82938975533754,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
180,False,"{'a': 0.7559999999999959, 'e': 0.76452542280985158}",35,0,-126.86048379461891,"{0: 26, 1: 1, 2: 4, 3: 2, 4: 2}",0
181,False,"{'a': 0.7551999999999959, 'e': 0.76337949433685315}",30,0,-162.842669599102,"{0: 18, 1: 0, 2: 10, 3: 0, 4: 2}",0
182,False,"{'a': 0.7543999999999959, 'e': 0.76223528346803904}",25,0,-172.7240823802399,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
183,False,"{'a': 0.7535999999999958, 'e': 0.76109278762893429}",25,0,-138.36366258261285,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
184,False,"{'a': 0.7527999999999958, 'e': 0.75995200424892273}",25,0,4.509510660875253,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
185,False,"{'a': 0.7519999999999958, 'e': 0.75881293076124146}",25,6,-68.07579444166647,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 1}",1
186,False,"{'a': 0.7511999999999958, 'e': 0.75767556460297436}",20,0,-13.382191615365038,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
